Alle economische activiteiten,Sectie,Jaar,Maand,Aantal faillissementen
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Oktober 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,November 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,December 2022,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2023,Januari 2023,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2023,Februari 2023,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2023,Maart 2023,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Maart 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,April 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Mei 2022,4.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Juni 2022,3.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Juli 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Augustus 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,September 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,Oktober 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,November 2022,1.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2022,December 2022,
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2023,Januari 2023,4.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2023,Februari 2023,3.0
Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,2023,Maart 2023,2.0
Alle economische activiteiten,F Bouwnijverheid,2022,Maart 2022,180.0
Alle economische activiteiten,F Bouwnijverheid,2022,April 2022,114.0
Alle economische activiteiten,F Bouwnijverheid,2022,Mei 2022,211.0
Alle economische activiteiten,F Bouwnijverheid,2022,Juni 2022,229.0
Alle economische activiteiten,F Bouwnijverheid,2022,Juli 2022,99.0
Alle economische activiteiten,F Bouwnijverheid,2022,Augustus 2022,81.0
Alle economische activiteiten,F Bouwnijverheid,2022,September 2022,241.0
Alle economische activiteiten,F Bouwnijverheid,2022,Oktober 2022,197.0
Alle economische activiteiten,F Bouwnijverheid,2022,November 2022,158.0
Alle economische activiteiten,F Bouwnijverheid,2022,December 2022,186.0
Alle economische activiteiten,F Bouwnijverheid,2023,Januari 2023,177.0
Alle economische activiteiten,F Bouwnijverheid,2023,Februari 2023,171.0
Alle economische activiteiten,F Bouwnijverheid,2023,Maart 2023,194.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Maart 2022,210.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,April 2022,142.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Mei 2022,210.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Juni 2022,220.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Juli 2022,122.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Augustus 2022,64.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,September 2022,206.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,Oktober 2022,204.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,November 2022,168.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2022,December 2022,165.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2023,Januari 2023,160.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2023,Februari 2023,171.0
Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2023,Maart 2023,195.0
Alle economische activiteiten,H Vervoer en opslag,2022,Maart 2022,57.0
Alle economische activiteiten,H Vervoer en opslag,2022,April 2022,42.0
Alle economische activiteiten,H Vervoer en opslag,2022,Mei 2022,55.0
Alle economische activiteiten,H Vervoer en opslag,2022,Juni 2022,78.0
Alle economische activiteiten,H Vervoer en opslag,2022,Juli 2022,28.0
Alle economische activiteiten,H Vervoer en opslag,2022,Augustus 2022,14.0
Alle economische activiteiten,H Vervoer en opslag,2022,September 2022,57.0
Alle economische activiteiten,H Vervoer en opslag,2022,Oktober 2022,55.0
Alle economische activiteiten,H Vervoer en opslag,2022,November 2022,51.0
Alle economische activiteiten,H Vervoer en opslag,2022,December 2022,36.0
Alle economische activiteiten,H Vervoer en opslag,2023,Januari 2023,40.0
Alle economische activiteiten,H Vervoer en opslag,2023,Februari 2023,47.0
Alle economische activiteiten,H Vervoer en opslag,2023,Maart 2023,67.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Maart 2022,182.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,April 2022,113.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Mei 2022,164.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Juni 2022,179.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Juli 2022,89.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Augustus 2022,58.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,September 2022,162.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,Oktober 2022,164.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,November 2022,148.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2022,December 2022,132.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2023,Januari 2023,157.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2023,Februari 2023,174.0
Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,2023,Maart 2023,162.0
Alle economische activiteiten,J Informatie en communicatie,2022,Maart 2022,28.0
Alle economische activiteiten,J Informatie en communicatie,2022,April 2022,28.0
Alle economische activiteiten,J Informatie en communicatie,2022,Mei 2022,25.0
Alle economische activiteiten,J Informatie en communicatie,2022,Juni 2022,34.0
Alle economische activiteiten,J Informatie en communicatie,2022,Juli 2022,12.0
Alle economische activiteiten,J Informatie en communicatie,2022,Augustus 2022,14.0
Alle economische activiteiten,J Informatie en communicatie,2022,September 2022,26.0
Alle economische activiteiten,J Informatie en communicatie,2022,Oktober 2022,34.0
Alle economische activiteiten,J Informatie en communicatie,2022,November 2022,33.0
Alle economische activiteiten,J Informatie en communicatie,2022,December 2022,20.0
Alle economische activiteiten,J Informatie en communicatie,2023,Januari 2023,19.0
Alle economische activiteiten,J Informatie en communicatie,2023,Februari 2023,23.0
Alle economische activiteiten,J Informatie en communicatie,2023,Maart 2023,25.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Maart 2022,8.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,April 2022,4.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Mei 2022,7.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Juni 2022,12.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Juli 2022,4.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Augustus 2022,3.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,September 2022,7.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,Oktober 2022,5.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,November 2022,2.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2022,December 2022,7.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2023,Januari 2023,4.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2023,Februari 2023,2.0
Alle economische activiteiten,K Financiële activiteiten en verzekeringen,2023,Maart 2023,7.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Maart 2022,29.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,April 2022,9.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Mei 2022,13.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Juni 2022,17.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Juli 2022,12.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Augustus 2022,5.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,September 2022,16.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,Oktober 2022,20.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,November 2022,12.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2022,December 2022,20.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2023,Januari 2023,18.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2023,Februari 2023,17.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2023,Maart 2023,13.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Maart 2022,68.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,April 2022,49.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Mei 2022,77.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Juni 2022,79.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Juli 2022,56.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Augustus 2022,23.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,September 2022,72.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Oktober 2022,70.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,November 2022,54.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,December 2022,61.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2023,Januari 2023,70.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2023,Februari 2023,60.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2023,Maart 2023,73.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Maart 2022,46.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,April 2022,34.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Mei 2022,52.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Juni 2022,75.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Juli 2022,29.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Augustus 2022,17.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,September 2022,44.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Oktober 2022,48.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,November 2022,36.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,December 2022,59.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2023,Januari 2023,45.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2023,Februari 2023,55.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2023,Maart 2023,51.0
Alle economische activiteiten,P Onderwijs,2022,Maart 2022,2.0
Alle economische activiteiten,P Onderwijs,2022,April 2022,5.0
Alle economische activiteiten,P Onderwijs,2022,Mei 2022,5.0
Alle economische activiteiten,P Onderwijs,2022,Juni 2022,8.0
Alle economische activiteiten,P Onderwijs,2022,Juli 2022,1.0
Alle economische activiteiten,P Onderwijs,2022,Augustus 2022,2.0
Alle economische activiteiten,P Onderwijs,2022,September 2022,4.0
Alle economische activiteiten,P Onderwijs,2022,Oktober 2022,5.0
Alle economische activiteiten,P Onderwijs,2022,November 2022,4.0
Alle economische activiteiten,P Onderwijs,2022,December 2022,1.0
Alle economische activiteiten,P Onderwijs,2023,Januari 2023,4.0
Alle economische activiteiten,P Onderwijs,2023,Februari 2023,6.0
Alle economische activiteiten,P Onderwijs,2023,Maart 2023,5.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Maart 2022,13.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,April 2022,10.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Mei 2022,17.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Juni 2022,19.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Juli 2022,14.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Augustus 2022,6.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,September 2022,16.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Oktober 2022,13.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,November 2022,19.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,December 2022,23.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2023,Januari 2023,12.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2023,Februari 2023,12.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2023,Maart 2023,17.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Maart 2022,12.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,April 2022,12.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Mei 2022,26.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Juni 2022,30.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Juli 2022,9.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Augustus 2022,5.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,September 2022,18.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Oktober 2022,24.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,November 2022,27.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,December 2022,12.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2023,Januari 2023,15.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2023,Februari 2023,17.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2023,Maart 2023,15.0
Alle economische activiteiten,S Overige diensten,2022,Maart 2022,34.0
Alle economische activiteiten,S Overige diensten,2022,April 2022,19.0
Alle economische activiteiten,S Overige diensten,2022,Mei 2022,42.0
Alle economische activiteiten,S Overige diensten,2022,Juni 2022,47.0
Alle economische activiteiten,S Overige diensten,2022,Juli 2022,15.0
Alle economische activiteiten,S Overige diensten,2022,Augustus 2022,13.0
Alle economische activiteiten,S Overige diensten,2022,September 2022,43.0
Alle economische activiteiten,S Overige diensten,2022,Oktober 2022,34.0
Alle economische activiteiten,S Overige diensten,2022,November 2022,30.0
Alle economische activiteiten,S Overige diensten,2022,December 2022,27.0
Alle economische activiteiten,S Overige diensten,2023,Januari 2023,30.0
Alle economische activiteiten,S Overige diensten,2023,Februari 2023,32.0
Alle economische activiteiten,S Overige diensten,2023,Maart 2023,38.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Maart 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,April 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Mei 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Juni 2022,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Juli 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Augustus 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,September 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Oktober 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,November 2022,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,December 2022,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2023,Januari 2023,1.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2023,Februari 2023,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2023,Maart 2023,
Alle economische activiteiten,,2022,Maart 2022,922.0
Alle economische activiteiten,,2022,April 2022,620.0
Alle economische activiteiten,,2022,Mei 2022,943.0
Alle economische activiteiten,,2022,Juni 2022,1082.0
Alle economische activiteiten,,2022,Juli 2022,528.0
Alle economische activiteiten,,2022,Augustus 2022,325.0
Alle economische activiteiten,,2022,September 2022,968.0
Alle economische activiteiten,,2022,Oktober 2022,920.0
Alle economische activiteiten,,2022,November 2022,774.0
Alle economische activiteiten,,2022,December 2022,800.0
Alle economische activiteiten,,2023,Januari 2023,799.0
Alle economische activiteiten,,2023,Februari 2023,828.0
Alle economische activiteiten,,2023,Maart 2023,917.0
